Episode  1570 | Won: False | Reward: -510.0 | Epsilon: 0.7907
Episode  1580 | Won: False | Reward: -515.0 | Epsilon: 0.7893
Episode  1590 | Won: False | Reward: -506.0 | Epsilon: 0.7880
Episode  1600 | Won: False | Reward: -507.0 | Epsilon: 0.7867
Episode  1610 | Won: False | Reward: -509.0 | Epsilon: 0.7853
Episode  1620 | Won: False | Reward: -519.0 | Epsilon: 0.7840
Episode  1630 | Won: False | Reward: -511.0 | Epsilon: 0.7827
Episode  1640 | Won: False | Reward: -508.0 | Epsilon: 0.7813
Episode  1650 | Won: False | Reward: -505.0 | Epsilon: 0.7800
Episode  1660 | Won: False | Reward: -513.0 | Epsilon: 0.7787
Episode  1670 | Won: False | Reward: -510.0 | Epsilon: 0.7773
Episode  1680 | Won: False | Reward: -508.0 | Epsilon: 0.7760
Episode  1690 | Won: False | Reward: -507.0 | Epsilon: 0.7747
Episode  1700 | Won: False | Reward: -506.0 | Epsilon: 0.7733
Episode  1710 | Won: False | Reward: -515.0 | Epsilon: 0.7720
Episode  1720 | Won: False | Reward: -508.0 | Epsilon: 0.7707
Episode  1730 | Won: False | Reward: -504.0 | Epsilon: 0.7693
Episode  1740 | Won: False | Reward: -514.0 | Epsilon: 0.7680
Episode  1750 | Won: False | Reward: -507.0 | Epsilon: 0.7667
Episode  1760 | Won: False | Reward: -506.0 | Epsilon: 0.7653
Episode  1770 | Won: False | Reward: -511.0 | Epsilon: 0.7640
Episode  1780 | Won: False | Reward: -508.0 | Epsilon: 0.7627
Episode  1790 | Won: False | Reward: -522.0 | Epsilon: 0.7613
Episode  1800 | Won: False | Reward: -508.0 | Epsilon: 0.7600
Episode  1810 | Won: False | Reward: -505.0 | Epsilon: 0.7587
Episode  1820 | Won: False | Reward: -518.0 | Epsilon: 0.7573
Episode  1830 | Won: False | Reward: -508.0 | Epsilon: 0.7560
Episode  1840 | Won: False | Reward: -511.0 | Epsilon: 0.7547
Episode  1850 | Won: False | Reward: -508.0 | Epsilon: 0.7533
Episode  1860 | Won: False | Reward: -512.0 | Epsilon: 0.7520
Episode  1870 | Won: False | Reward: -509.0 | Epsilon: 0.7507
Episode  1880 | Won: False | Reward: -504.0 | Epsilon: 0.7493
Episode  1890 | Won: False | Reward: -514.0 | Epsilon: 0.7480
Episode  1900 | Won: False | Reward: -511.0 | Epsilon: 0.7467
Episode  1910 | Won: False | Reward: -508.0 | Epsilon: 0.7453
Episode  1920 | Won: False | Reward: -513.0 | Epsilon: 0.7440
Episode  1930 | Won: False | Reward: -508.0 | Epsilon: 0.7427
Episode  1940 | Won: False | Reward: -511.0 | Epsilon: 0.7413
Episode  1950 | Won: False | Reward: -506.0 | Epsilon: 0.7400
Episode  1960 | Won: False | Reward: -506.0 | Epsilon: 0.7387
Episode  1970 | Won: False | Reward: -505.0 | Epsilon: 0.7373
Episode  1980 | Won: False | Reward: -517.0 | Epsilon: 0.7360
Episode  1990 | Won: False | Reward: -511.0 | Epsilon: 0.7347
Episode  2000 | Won: False | Reward: -506.0 | Epsilon: 0.7333
Episode  2010 | Won: False | Reward: -521.0 | Epsilon: 0.7320
Episode  2020 | Won: False | Reward: -508.0 | Epsilon: 0.7307
Episode  2030 | Won: False | Reward: -508.0 | Epsilon: 0.7293
Episode  2040 | Won: False | Reward: -510.0 | Epsilon: 0.7280
Episode  2050 | Won: False | Reward: -505.0 | Epsilon: 0.7267
Episode  2060 | Won: False | Reward: -515.0 | Epsilon: 0.7253
